stara_url,nova_url,typ,poznamka
/katalog-produktov/pmae4016,/katalog-produktov/pmae4016-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmnn4468,/katalog-produktov/pmnn4468-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmnn4258,/katalog-produktov/pmnn4258-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln7089,/katalog-produktov/pmln7089-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/3-bodove-puzdro,/katalog-produktov/3-bodove-puzdro-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/ps000042a12,/katalog-produktov/ps000042a12-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmae4022,/katalog-produktov/pmae4022-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmae4003,/katalog-produktov/pmae4003-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmmn4058,/katalog-produktov/pmmn4058-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/pmln5010,/katalog-produktov/pmln5010-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hln9714,/katalog-produktov/hln9714-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/hln9844,/katalog-produktov/hln9844-archiv,katalog-archiv,mototrbo prebral cistu adresu
/katalog-produktov/kategoria/produkty,/katalog-produktov,katalog-archiv,"osirela umbrella kategoria, zastupuje ju uvod katalogu"
